description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich’s Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. “For the Allies as well as the Germans, it will be the longest day”",3.8,17K,36K,7K,197 FANS,"Ken Annakin, Andrew Marton …",the-longest-day-1962
"THE STORY OF THAT MAN AND HIS 76 TROMBONES, AND THE WONDERFUL, WONDERFUL TUNE HE PLAYED ON EVERY HEART IN TOWN!
Traveling con artist Harold Hill targets the naïve residents of a small town in 1910s Iowa by posing as a boys’ bandleader to raise money before he can skip town.",3.6,16K,38K,8K,213 FANS,Morton DaCosta,the-music-man-1962
"THE MIGHTIEST EXCITEMENT THAT EVER SWEPT ACROSS THE SEA OR THE SCREEN!
The Bounty leaves Portsmouth in 1787. Its destination: to sail to Tahiti and load bread-fruit. Captain Bligh will do anything to get there as fast as possible, using any means to keep up a strict discipline. When they arrive at Tahiti, it is like a paradise for the crew, something completely different than the living hell aboard the ship. On the way back to England, officer Fletcher Christian becomes the leader of a mutiny.",3.5,7.4K,12K,1.8K,16 FANS,Lewis Milestone,mutiny-on-the-bounty-1962
"A FATHER MUST EXPOSE HIS CHILDREN TO A SMALL TOWN’S OUTRAGED PASSIONS… AND CAN ONLY PROTECT THEM WITH HIS LOVE.
Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.",4.1,86K,473K,99K,2.1K FANS,Robert Mulligan,to-kill-a-mockingbird-1962
"TOM JONES!… LOVES AND LOVES AND LOVES AND LOVES…
Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?",2.9,22K,16K,1.7K,9 FANS,Tony Richardson,tom-jones-1963
"ONE MAN’S STRUGGLE TO THE GOLDEN SHORE
A young Anatolian Greek, entrusted with his family’s fortune, loses it en route to Istanbul and dreams of going to America.",3.8,10K,5.9K,1.2K,29 FANS,Elia Kazan,america-america-1963
"THE MOTION PICTURE THE WORLD HAS BEEN WAITING FOR!
Determined to hold on to the throne, Cleopatra seduces the Roman emperor Julius Caesar. When Caesar is murdered, she redirects her attentions to his general, Marc Antony, who vows to take power—but Caesar’s successor has other plans.",3.5,23K,51K,9.4K,259 FANS,Joseph L. Mankiewicz,cleopatra-1963
"IT’S HERE! THE MIGHTIEST ADVENTURE EVER FILMED!
The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.",3.5,15K,22K,3.7K,22 FANS,"John Ford, George Marshall …",how-the-west-was-won-1963
"SIDNEY POITIER AS THE LIFE-LOVING EX-GI WHO ONE DAY ENCOUNTERS FIVE NUNS ESCAPED FROM BEYOND THE BERLIN WALL…
An unemployed construction worker heading out west stops at a remote farm in the desert to get water when his car overheats. The farm is being worked by a group of East European Catholic nuns, headed by the strict mother superior, who believes the man has been sent by God to build a much needed church in the desert.",3.6,10K,15K,3.7K,50 FANS,Ralph Nelson,lilies-of-the-field-1963
"THE LOVERLIEST MOTION PICTURE OF THEM ALL!
A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.",3.6,71K,196K,40K,1K FANS,George Cukor,my-fair-lady-1964
"AN AGE OF RAMPANT LUSTS, ABANDON, RUNAWAY PASSIONS. AN AGE BROUGHT BRISTLING TO LIFE BY TWO OF THE MOST EXCITING STARS OF OUR TIME!
Thomas Becket, Henry II’s longtime advisor, finds his friendship with the debauched king corroding when he is unwillingly appointed as Archbishop of Canterbury in an attempt to gain absolute loyalty from the Church.",3.8,9.8K,12K,2.9K,63 FANS,Peter Glenville,becket-1964
"THE HOT-LINE SUSPENSE COMEDY.
After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.",4.3,232K,804K,277K,15K FANS,Stanley Kubrick,dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964
"THE FAIREST OF THEM ALL…THE FUNNIEST OF THEM ALL!
Mr Banks is looking for a nanny for his two mischievous children and comes across Mary Poppins, an angelic nanny. She not only brings a change in their lives but also spreads happiness.",3.9,109K,802K,165K,4.7K FANS,Robert Stevenson,mary-poppins-1964
"LIFE. LUST. LOVE. ZORBA.
An uptight English writer traveling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.",3.7,10K,17K,4.1K,261 FANS,Mihalis Kakogiannis,zorba-the-greek-1964
"THE HAPPIEST SOUND IN ALL THE WORLD!
In the years before World War II, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.",4.2,191K,1M,287K,32K FANS,Robert Wise,the-sound-of-music-1965
"WHEN SHE WAS GOOD SHE WAS VERY, VERY GOOD… AND WHEN SHE WAS BAD SHE WAS DARLING!
Diana, a beautiful but shallow and easily distracted model and failed actress, toys with the affections of several men while attempting to gain fame and fortune in Swinging London.",3.6,14K,13K,2.8K,44 FANS,John Schlesinger,darling-1965
"A LOVE CAUGHT IN THE FIRE OF REVOLUTION
The life of a Russian physician and poet who, although married to another, falls in love with a political activist’s wife and experiences hardship during World War I and then the October Revolution.",4.0,44K,90K,20K,1K FANS,David Lean,doctor-zhivago-1965
"EXPLORER, MISTRESS, VAGRANT, LOAFER, ARTIST, TRAMP … THEY ARE ALL AT THE CAPTAIN’S TABLE!
Passengers on a ship traveling from Mexico to Europe in the 1930s represent society at large in that era. The crew is German, including the ship’s Dr. Schumann, who falls in love with one of the passengers, La Condesa. A young American woman, Jenny, is traveling with the man she loves, David. Jenny is fascinated and puzzled by just who some of the other passengers are.",3.4,6.9K,4.6K,765,5 FANS,Stanley Kramer,ship-of-fools-1965
"… IT’S A LIFT FOR THE SPIRITS
Twelve-year-old Nick lives with his Uncle Murray, a Mr.Micawber-like Dickensian character who keeps hoping something won’t turn up. What turns up is a social worker, who falls in love with Murray and a bit in love with Nick. As the child welfare people try to force Murray to become a conventional man (as the price they demand for allowing him to keep Nick), the nephew, who until now has gloried in his Uncle’s iconoclastic approach to life, tries to play …more",3.6,5.3K,2.7K,607,43 FANS,Fred Coe,a-thousand-clowns-1965
"…A MOTION PICTURE FOR ALL TIMES!
A depiction of the conflict between King Henry VIII of England and his Lord Chancellor, Sir Thomas More, who refuses to swear the Oath of Supremacy declaring Henry Supreme Head of the Church in England.",3.8,29K,33K,7.2K,298 FANS,Fred Zinnemann,a-man-for-all-seasons-1966
"IS ANY MAN AN ALFIE? ASK ANY GIRL!
A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.",3.5,9.6K,18K,2.7K,35 FANS,Lewis Gilbert,alfie-1966
"IT’S A PLOT! …TO MAKE THE WORLD DIE LAUGHING!!
When a Soviet submarine gets stuck on a sandbar off the coast of a New England island, its commander orders his second-in-command, Lieutenant Rozanov, to get them moving again before there is an international incident. Rozanov seeks assistance from the island locals, including the police chief and a vacationing television writer, while trying to allay their fears of a Communist invasion by claiming he and his crew are Norwegian sailors.",3.4,6.2K,8K,1.5K,17 FANS,Norman Jewison,the-russians-are-coming-the-russians-are-coming-1966
"THIS IS THE HEROIC STORY OF THE MEN ON THE U.S.S. SAN PABLO WHO DISTURBED THE SLEEPING DRAGON OF SAVAGE CHINA AS THE THREATENED WORLD WATCHED IN BREATHLESS TERROR.
Engineer Jake Holman arrives aboard the gunboat USS San Pablo, assigned to patrol a tributary of the Yangtze in the middle of exploited and revolution-torn 1926 China. His iconoclasm and cynical nature soon clash with the ‘rice-bowl’ system which runs the ship and the uneasy symbiosis between Chinese and foreigner on the river. Hostility towards the gunboat’s presence reaches a climax when the boat must crash through a river-boom and rescue missionaries …more",3.6,7.9K,8.7K,1.7K,21 FANS,Robert Wise,the-sand-pebbles-1966
"YOU ARE CORDIALLY INVITED TO GEORGE AND MARTHA’S FOR AN EVENING OF FUN AND GAMES
A history professor and his wife entertain a young couple who are new to the university’s faculty. As the drinks flow, secrets come to light, and the middle-aged couple unload onto their guests the full force of the bitterness, dysfunction, and animosity that defines their marriage.",4.3,68K,123K,39K,1.9K FANS,Mike Nichols,whos-afraid-of-virginia-woolf-1966
"THEY GOT A MURDER ON THEIR HANDS. THEY DON’T KNOW WHAT TO DO WITH IT.
African-American Philadelphia police detective Virgil Tibbs is arrested on suspicion of murder by Bill Gillespie, the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.",4.0,60K,116K,32K,268 FANS,Norman Jewison,in-the-heat-of-the-night-1967
"THEY’RE YOUNG… THEY’RE IN LOVE… AND THEY KILL PEOPLE.
In the 1930s, bored European-American waitress Bonnie Parker falls in love with a European-American ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",3.9,82K,228K,58K,986 FANS,Arthur Penn,bonnie-and-clyde-1967
"RIDE ACROSS THE SEA INSIDE THE GIANT PINK SEA SNAIL!
A veterinarian who can communicate with animals travels abroad to search for a giant sea snail.",2.9,7.2K,15K,1.4K,18 FANS,Richard Fleischer,doctor-dolittle-1967
"THIS IS BENJAMIN. HE’S A LITTLE WORRIED ABOUT HIS FUTURE.
A disillusioned college graduate finds himself torn between his older lover and her daughter.",4.1,162K,690K,203K,9.7K FANS,Mike Nichols,the-graduate-1967
"A LOVE STORY OF TODAY.
A couple’s attitudes are challenged when their daughter brings home a fiancé who is black.",3.8,30K,78K,19K,229 FANS,Stanley Kramer,guess-whos-coming-to-dinner-1967
"MUCH MUCH MORE THAN A MUSICAL!
Musical adaptation of Charles Dickens’ Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",3.6,31K,73K,12K,305 FANS,Carol Reed,oliver-1968
"PEOPLE WHO SEE FUNNY GIRL ARE THE LUCKIEST PEOPLE IN THE WORLD!
The life of famed 1930s comedienne Fanny Brice, from her early days in the Jewish slums of New York, to the height of her career with the Ziegfeld Follies, as well as her marriage to the rakish gambler Nick Arnstein.",4.0,39K,90K,29K,2.4K FANS,William Wyler,funny-girl-1968
"WHAT FAMILY DOESN’T HAVE ITS UPS AND DOWNS?
Henry II and his estranged queen, Eleanor of Aquitaine, battle over the choice of an heir.",4.0,21K,28K,8.3K,488 FANS,Anthony Harvey,the-lion-in-winter-1968
"WHO CARES ABOUT A 35 YEAR OLD VIRGIN?
Rachel is a 35-year-old school teacher who has no man in her life and lives with her mother. When a man from the big city returns and asks her out, she begins to have to make decisions about her life and where she wants it to go.",3.6,6.7K,5.7K,1.5K,15 FANS,Paul Newman,rachel-rachel-1968
"NO ORDINARY LOVE STORY…
Romeo Montague and Juliet Capulet fall in love against the wishes of their feuding families. Driven by their passion, the young lovers defy their destiny and elope, only to suffer the ultimate tragedy.",3.6,26K,101K,19K,1K FANS,Franco Zeffirelli,romeo-and-juliet-1968
"FOR THOSE WHO HAVE NEVER SEEN IT AND THOSE WHO HAVE NEVER FORGOTTEN IT.
Joe Buck is a wide-eyed hustler from Texas hoping to score big with wealthy New York City women; he finds a companion in Enrico “Ratso” Rizzo, an ailing swindler with a bum leg and a quixotic fantasy of escaping to Florida.",4.1,108K,261K,83K,4.9K FANS,John Schlesinger,midnight-cowboy-1969
"HE WAS KING. SHE WAS BARELY 18. AND IN THEIR THOUSAND DAYS THEY PLAYED OUT THE MOST PASSIONATE AND SHOCKING LOVE STORY IN HISTORY!
Henry VIII of England discards his wife, Katharine of Aragon, who has failed to produce a male heir, in favor of the young and beautiful Anne Boleyn.",3.6,7.1K,5.6K,1.2K,48 FANS,Charles Jarrott,anne-of-the-thousand-days-1969
"NOT THAT IT MATTERS, BUT MOST OF IT IS TRUE.
As the west rapidly becomes civilized, a pair of outlaws in 1890s Wyoming find themselves pursued by a posse and decide to flee to South America in hopes of evading the law.",4.2,88K,254K,78K,3.5K FANS,George Roy Hill,butch-cassidy-and-the-sundance-kid-1969
"COME ANYTIME FOR THE TIME OF YOUR LIFE!
Dolly Levi is a strong-willed matchmaker who travels to Yonkers, New York in order to see the miserly “well-known unmarried half-a-millionaire” Horace Vandergelder. In doing so, she convinces his niece, his niece’s intended, and Horace’s two clerks to travel to New York City.",3.8,20K,42K,13K,719 FANS,Gene Kelly,hello-dolly-1969
"HE IS ALIVE!
Amid a tense political climate, the opposition leader is killed in an apparent accident. When a prosecutor smells a cover-up, witnesses get targeted. A thinly veiled dramatization of the assassination of Greek politician Grigoris Lambrakis and its aftermath, “Z” captures the outrage at the US-backed junta that ruled Greece at the time of its release.",4.3,47K,63K,22K,972 FANS,Costa-Gavras,z-1969
